Seleção 1,Placar 1,Placar 2,Seleção 2,Vencedor,Saldo de Gols,Dia,Hora,Grupo
México,2,0,África do Sul,México,2,11/06,16:00,A
Coreia do Sul,2,1,República Tcheca,Coreia do Sul,1,11/06,23:00,A
Canadá,1,1,Bósnia,Empate,0,12/06,16:00,B
Catar,1,1,Suíça,Empate,0,13/06,16:00,B
Brasil,1,1,Marrocos,Empate,0,13/06,19:00,C
Haiti,0,1,Escócia,Escócia,-1,13/06,22:00,C
Estados Unidos,4,1,Paraguai,Estados Unidos,3,12/06,22:00,D
Austrália,2,0,Turquia,Austrália,2,14/06,01:00,D
Alemanha,7,1,Curaçao,Alemanha,6,14/06,14:00,E
Costa do Marfim,1,0,Equador,Costa do Marfim,1,14/06,20:00,E
Holanda,2,2,Japão,Empate,0,14/06,17:00,F
Suécia,5,1,Tunísia,Suécia,4,14/06,23:00,F
Bélgica,1,1,Egito,Empate,0,15/06,16:00,G
Irã,2,2,Nova Zelândia,Empate,0,15/06,22:00,G
Espanha,0,0,Cabo Verde,Empate,0,15/06,13:00,H
Arábia Saudita,1,1,Uruguai,Empate,0,15/06,19:00,H
França,3,1,Senegal,França,2,16/06,16:00,I
Iraque,1,4,Noruega,Noruega,-3,16/06,19:00,I
Argentina,3,0,Argélia,Argentina,3,16/06,22:00,J
Áustria,3,1,Jordânia,Áustria,2,17/06,01:00,J
Portugal,1,1,RD Congo,Empate,0,17/06,14:00,K
Uzbequistão,1,3,Colômbia,Colômbia,-2,17/06,23:00,K
Inglaterra,4,2,Croácia,Inglaterra,2,17/06,17:00,L
Gana,1,0,Panamá,Gana,1,17/06,20:00,L
