Seleção 1,Placar 1,Placar 2,Seleção 2,Vencedor,Saldo de Gols,Dia,Hora,Grupo
República Tcheca,1,1,África do Sul,Empate,0,18/06,13:00,A
México,1,0,Coreia do Sul,México,1,18/06,22:00,A
Suíça,4,1,Bósnia,Suíça,3,18/06,16:00,B
Canadá,6,0,Catar,Canadá,6,18/06,19:00,B
Escócia,0,1,Marrocos,Marrocos,-1,19/06,19:00,C
Brasil,3,0,Haiti,Brasil,3,19/06,21:30,C
Estados Unidos,2,0,Austrália,Estados Unidos,2,19/06,16:00,D
Turquia,0,1,Paraguai,Paraguai,-1,20/06,00:00,D
Alemanha,2,1,Costa do Marfim,Alemanha,1,20/06,17:00,E
Equador,0,0,Curaçao,Empate,0,20/06,21:00,E
Holanda,5,1,Suécia,Holanda,4,20/06,14:00,F
Tunísia,0,4,Japão,Japão,-4,21/06,01:00,F
Bélgica,0,0,Irã,Empate,0,21/06,16:00,G
Nova Zelândia,1,3,Egito,Egito,-2,21/06,22:00,G
Espanha,4,0,Arábia Saudita,Espanha,4,21/06,13:00,H
Uruguai,2,2,Cabo Verde,Empate,0,21/06,19:00,H
França,3,0,Iraque,França,3,22/06,18:00,I
Noruega,3,2,Senegal,Noruega,1,22/06,21:00,I
Argentina,2,0,Áustria,Argentina,2,22/06,14:00,J
Jordânia,1,2,Argélia,Argélia,-1,23/06,00:00,J
Portugal,5,0,Uzbequistão,Portugal,5,23/06,14:00,K
Colômbia,1,0,RD Congo,Colômbia,1,23/06,23:00,K
Inglaterra,0,0,Gana,Empate,0,23/06,17:00,L
Panamá,0,1,Croácia,Croácia,-1,23/06,20:00,L
